#{"t_start": 1674316415.0256553, "env_id": "gripper-env-v0"}
r,l,t
-40000.0,200,4112.02438
-2611.521128,108,4121.808459
-22193.863981,200,4135.94148
-21783.700345,200,4151.525142
-16597.335896,183,4168.841269
8298.20103,10,4170.424436
1594.752421,48,4175.291698
7809.066681,18,4178.109613
2299.917891,40,4182.325146
9313.262284,6,4183.741419
9403.496106,5,4185.357345
8401.778513,10,4187.007569
7814.67309,13,4188.924954
9497.611419,4,4190.257666
9001.464921,7,4191.757806
6323.214404,24,4194.374949
9099.96462,6,4195.824423
8709.600258,9,4197.440605
8707.905957,9,4199.21015
4502.574846,33,4202.057467
9499.904379,4,4203.406772
9297.757385,5,4204.790267
9698.028694,3,4206.040365
9099.140096,6,4207.440656
9098.826735,6,4209.007891
9007.415823,7,4210.507696
9698.450393,3,4211.840233
9696.808757,3,4213.191162
9099.951522,6,4214.557198
9298.196427,5,4215.873652
9498.31763,4,4217.140384
6298.416892,20,4219.442177
9399.006091,5,4221.142389
9210.563671,6,4222.507218
8099.267663,11,4224.407519
1895.819813,42,4228.907228
8099.19352,11,4230.657308
9498.512165,4,4232.006925
9098.53841,6,4233.424524
9499.654567,4,4234.790678
4900.000211,27,4237.507895
8697.502921,8,4239.107729
9298.11077,5,4240.557186
9299.522853,5,4241.941109
9298.168616,5,4243.374786
9099.269107,6,4244.82499
9098.842517,6,4246.240917
5497.895821,24,4249.143283
9498.813378,4,4250.40689
9299.247863,5,4251.891321
7298.351314,15,4253.874677
4299.591052,30,4256.524569
6413.970521,21,4259.124741
9299.757696,5,4260.591277
-2415.692036,67,4265.424174
9698.0973,3,4266.740535
10000.0,1,4267.923729
2614.55845,40,4271.057202
7734.969102,15,4273.007931
9298.497414,5,4274.306959
9698.003885,3,4275.60748
9298.910622,5,4277.007779
8698.486314,8,4278.524337
9900.000001,2,4279.77396
7397.63657,15,4282.609464
9497.902698,4,4283.790241
9100.884691,6,4285.157515
9298.354903,5,4286.574456
8600.871484,9,4288.157402
10000.0,1,4289.323783
-13700.102118,120,4302.724248
9499.922121,4,4304.040193
9500.32232,4,4305.66148
-39899.133242,200,4317.190344
8598.470867,9,4319.176508
-2869.084254,70,4324.624499
-40000.0,200,4337.740707
7901.198236,13,4339.608029
9700.10891,3,4341.090743
9495.872408,4,4342.457495
1409.31835,46,4345.993218
8298.750871,10,4347.624352
8996.950357,7,4349.173734
-23702.245669,170,4369.325356
9497.830329,4,4370.690521
4098.772424,31,4373.374326
9298.542602,5,4374.707295
9499.294818,4,4375.990311
8298.05695,10,4377.590499
9200.075549,6,4379.057656
9299.09194,5,4380.390376
10000.0,1,4381.573713
-40000.0,200,4404.541828
-15491.566261,130,4415.025032
8897.92403,7,4416.524749
9297.678502,5,4417.891153
8613.858213,9,4419.509667
10000.0,1,4420.673593
9298.109072,5,4422.157836
6710.286767,19,4424.57461
-40000.0,200,4440.191071
7493.167546,15,4442.476094
2605.589243,41,4445.690465
5806.700397,24,4448.424248
9098.47982,6,4449.856853
9691.537424,3,4451.206562
8597.849157,9,4452.874857
7699.764771,13,4454.857893
-39703.006006,200,4469.307382
4507.333704,36,4472.907596
9297.752757,5,4474.307201
7602.138908,14,4476.291351
7910.409849,13,4478.474529
7599.850143,14,4480.458017
8501.147674,9,4482.107576
8208.630262,12,4483.890688
9011.07844,7,4485.491464
9097.319505,6,4486.906962
8212.449204,13,4489.274565
6598.506239,19,4491.524092
9297.843205,5,4492.840126
8018.827551,14,4495.057362
8201.188151,14,4497.057833
9291.269345,5,4498.541551
10000.0,1,4499.70676
8602.88695,9,4501.291174
9207.387226,6,4502.757601
9011.376916,7,4504.291394
7889.287778,12,4506.073622
-3802.086039,72,4514.041025
8499.998938,9,4515.623778
7299.723916,15,4517.843766
9098.912595,6,4519.195107
9698.196223,3,4520.456927
9498.526077,4,4521.791217
9698.262062,3,4523.073658
-40000.0,200,4535.907277
7200.883289,17,4538.927603
8687.213367,8,4540.491261
9100.0906,6,4541.88994
1810.300641,43,4545.974719
9298.489163,5,4547.374095
9298.89426,5,4548.707494
7614.176268,14,4550.758415
8798.238102,8,4552.440526
10000.0,1,4553.5911
9296.364608,5,4554.95839
7399.005667,19,4557.491515
9298.953583,5,4558.875621
9096.738278,6,4560.324113
8499.772981,9,4561.890782
9099.999993,6,4563.356949
5712.12775,24,4565.757309
9297.590725,5,4567.15721
5801.716979,23,4569.823654
9298.505413,5,4571.742218
3600.239966,34,4574.657275
9604.73153,4,4575.990731
8408.852826,10,4577.757563
9298.275544,5,4579.225068
9297.701427,5,4580.890893
9501.440899,4,4582.207776
9012.672292,7,4583.723504
7510.193014,15,4585.690623
9297.966224,5,4587.073544
5894.279815,23,4589.62394
8912.866467,8,4591.206894
9297.55079,5,4592.607746
-8702.275721,95,4599.607362
8900.380625,8,4601.557568
-29502.217777,199,4614.890389
9098.152358,6,4616.24011
8493.792813,9,4617.92417
3900.783021,32,4621.640618
9498.810806,4,4623.0242
8500.442484,9,4624.607552
9297.290116,5,4626.158545
9000.912,7,4627.640149
9199.625914,6,4629.057696
9098.025485,6,4630.507747
9498.02338,4,4631.957015
9298.236065,5,4633.323515
8908.906947,8,4635.309391
3898.238917,32,4638.440564
8203.570701,14,4640.590347
9495.988133,4,4641.857558
9497.720952,4,4643.35769
6897.037549,18,4645.541224
10000.0,1,4646.689969
9300.41674,5,4648.057729
10000.0,1,4649.273695
-1775.083693,62,4654.107131
8299.574309,10,4655.806919
9100.000024,6,4657.223816
9099.127191,6,4658.757739
9097.976718,6,4660.207322
4197.119721,31,4663.307594
8696.622911,8,4664.790722
8498.239386,9,4666.341224
9498.314499,4,4667.656467
8682.516089,8,4669.190926
8299.999964,10,4670.990402
9297.679657,5,4672.323924
9298.254375,5,4673.656804
5698.923172,23,4676.207609
8699.181998,9,4677.857694
9413.582481,5,4679.190355
9003.271782,7,4681.108603
9097.539929,6,4682.473411
8694.179698,8,4683.957239
1896.493215,42,4688.159441
-8404.049474,94,4695.190624
4698.563318,28,4698.057158
9733.42219,4,4699.406945
5691.551952,23,4702.107791
9697.43789,3,4703.373071
10000.0,1,4704.558524
9100.104954,7,4706.107242
9600.304649,4,4707.539926
-1301.903973,58,4711.740449
8896.481822,7,4713.274325
